jpt_nazwa_,unemployment_rate_class_powiat,unemployment_rate_class_unemployment_ratio,unemployment_rate_class_class
z³otoryjski,z³otoryjski,16.5,VI
Legnica,Legnica,6.1,II
jeleniogórski,jeleniogórski,9.8,IV
górowski,górowski,16,VI
oleœnicki,oleœnicki,6.9,II
boles³awiecki,boles³awiecki,4.8,II
Jelenia Góra,Jelenia Góra,3.6,I
k³odzki,k³odzki,13.4,V
lubañski,lubañski,10.1,IV
wa³brzyski,wa³brzyski,15.7,VI
dzier¿oniowski,dzier¿oniowski,8.3,III
trzebnicki,trzebnicki,7.2,III
g³ogowski,g³ogowski,9.8,IV
Wa³brzych,Wa³brzych,8.2,III
wo³owski,wo³owski,13,V
zgorzelecki,zgorzelecki,6.5,II
wroc³awski,wroc³awski,2.5,I
z¹bkowicki,z¹bkowicki,12.3,V
o³awski,o³awski,6.1,II
polkowicki,polkowicki,4.7,II
œredzki,œredzki,7.1,III
jaworski,jaworski,13.7,V
milicki,milicki,8.1,III
kamiennogórski,kamiennogórski,7.8,III
strzeliñski,strzeliñski,12.1,V
œwidnicki,œwidnicki,11.1,IV
legnicki,legnicki,12.1,V
Wroc³aw,Wroc³aw,2.5,I
lubiñski,lubiñski,5.1,II
lwówecki,lwówecki,14.9,VI
Grudzi¹dz,Grudzi¹dz,11.6,V
Toruñ,Toruñ,5.4,II
W³oc³awek,W³oc³awek,14.2,VI
radziejowski,radziejowski,17.8,VII
nakielski,nakielski,13.7,V
rypiñski,rypiñski,11.5,V
tucholski,tucholski,13.1,V
golubsko-dobrzyñski,golubsko-dobrzyñski,11.8,V
che³miñski,che³miñski,14.5,VI
grudzi¹dzki,grudzi¹dzki,14.8,VI
inowroc³awski,inowroc³awski,15.4,VI
aleksandrowski,aleksandrowski,13.7,V
brodnicki,brodnicki,8.1,III
bydgoski,bydgoski,7,II
lipnowski,lipnowski,18.2,VII
w¹brzeski,w¹brzeski,14.9,VI
sêpoleñski,sêpoleñski,14.1,VI
w³oc³awski,w³oc³awski,18.8,VII
œwiecki,œwiecki,9,III
toruñski,toruñski,12.9,V
¿niñski,¿niñski,13.4,V
Bydgoszcz,Bydgoszcz,4.3,II
mogileñski,mogileñski,12,V
skierniewicki,skierniewicki,4.5,II
tomaszowski,tomaszowski,8,III
wieluñski,wieluñski,7.3,III
zduñskowolski,zduñskowolski,8,III
wieruszowski,wieruszowski,5.1,II
zgierski,zgierski,8.9,III
brzeziñski,brzeziñski,8.5,III
£ódŸ,£ódŸ,7.3,III
Piotrków Trybunalski,Piotrków Trybunalski,6.4,II
Skierniewice,Skierniewice,6.9,II
be³chatowski,be³chatowski,6.3,II
kutnowski,kutnowski,10.5,IV
³aski,³aski,9.7,IV
³êczycki,³êczycki,8.5,III
³owicki,³owicki,6.2,II
³ódzki wschodni,³ódzki wschodni,8.3,III
opoczyñski,opoczyñski,6.4,II
pabianicki,pabianicki,8.1,III
pajêczañski,pajêczañski,7.6,III
piotrkowski,piotrkowski,6.9,II
poddêbicki,poddêbicki,7.4,III
radomszczañski,radomszczañski,8,III
rawski,rawski,4.4,II
sieradzki,sieradzki,6.1,II
bialski,bialski,10.9,IV
bi³gorajski,bi³gorajski,5.3,II
che³mski,che³mski,13.8,V
hrubieszowski,hrubieszowski,13.8,V
janowski,janowski,8.9,III
krasnostawski,krasnostawski,12.4,V
kraœnicki,kraœnicki,10.8,IV
lubartowski,lubartowski,11.7,V
lubelski,lubelski,7.7,III
³êczyñski,³êczyñski,6.2,II
³ukowski,³ukowski,5.2,II
opolski,opolski,7.8,III
parczewski,parczewski,8.3,III
pu³awski,pu³awski,5.9,II
radzyñski,radzyñski,8.6,III
rycki,rycki,9.9,IV
œwidnicki,œwidnicki,11.1,IV
tomaszowski,tomaszowski,8,III
Bia³a Podlaska,Bia³a Podlaska,11.8,V
w³odawski,w³odawski,16.5,VI
zamojski,zamojski,10.3,IV
Lublin,Lublin,6.6,II
Che³m,Che³m,12.4,V
Zamoœæ,Zamoœæ,11.2,IV
¿arski,¿arski,6.6,II
wschowski,wschowski,9.3,IV
Zielona Góra,Zielona Góra,3.6,I
Gorzów Wielkopolski,Gorzów Wielkopolski,3.4,I
gorzowski,gorzowski,5.7,II
kroœnieñski,kroœnieñski,8.5,III
zielonogórski,zielonogórski,7.7,III
miêdzyrzecki,miêdzyrzecki,13.5,V
nowosolski,nowosolski,11.4,V
s³ubicki,s³ubicki,3.1,I
