,powiat,unemployment_ratio,class
0,bolesławiecki,4.8,II
1,dzierżoniowski,8.3,III
2,głogowski,9.8,IV
3,górowski,16.0,VI
4,jaworski,13.7,V
5,jeleniogórski,9.8,IV
6,kamiennogórski,7.8,III
7,kłodzki,13.4,V
8,legnicki,12.1,V
9,lubański,10.1,IV
10,lubiński,5.1,II
11,lwówecki,14.9,VI
12,milicki,8.1,III
13,oleśnicki,6.9,II
14,oławski,6.1,II
15,polkowicki,4.7,II
16,strzeliński,12.1,V
17,średzki,6.4,II
18,świdnicki,7.2,III
19,trzebnicki,7.2,III
20,wałbrzyski,15.7,VI
21,wołowski,13.0,V
22,wrocławski,2.5,I
23,ząbkowicki,12.3,V
24,zgorzelecki,6.5,II
25,złotoryjski,16.5,VI
26,Jelenia Góra,3.6,I
27,Legnica,6.1,II
28,Wałbrzych,8.2,III
29,Wrocław,2.5,I
30,aleksandrowski,13.7,V
31,brodnicki,8.1,III
32,bydgoski,7.0,II
33,chełmiński,14.5,VI
34,golubsko-dobrzyński,11.8,V
35,grudziądzki,14.8,VI
36,inowrocławski,15.4,VI
37,lipnowski,18.2,VII
38,mogileński,12.0,V
39,nakielski,13.7,V
40,radziejowski,17.8,VII
41,rypiński,11.5,V
42,sępoleński,14.1,VI
43,świecki,9.0,III
44,toruński,12.9,V
45,tucholski,13.1,V
46,wąbrzeski,14.9,VI
47,włocławski,18.8,VII
48,żniński,13.4,V
49,Bydgoszcz,4.3,II
50,Grudziądz,11.6,V
51,Toruń,5.4,II
52,Włocławek,14.2,VI
53,bialski,10.9,IV
54,biłgorajski,5.3,II
55,chełmski,13.8,V
56,hrubieszowski,13.8,V
57,janowski,8.9,III
58,krasnostawski,12.4,V
59,kraśnicki,10.8,IV
60,lubartowski,11.7,V
61,lubelski,7.7,III
62,łęczyński,6.2,II
63,łukowski,5.2,II
64,opolski,9.3,IV
65,parczewski,8.3,III
66,puławski,5.9,II
67,radzyński,8.6,III
68,rycki,9.9,IV
69,świdnicki,11.1,IV
70,tomaszowski,7.1,III
71,włodawski,16.5,VI
72,zamojski,10.3,IV
73,Biała Podlaska,11.8,V
74,Chełm,12.4,V
75,Lublin,6.6,II
76,Zamość,11.2,IV
77,gorzowski,5.7,II
78,krośnieński,11.6,V
79,międzyrzecki,13.5,V
80,nowosolski,11.4,V
81,słubicki,3.1,I
82,strzelecko-drezdenecki,12.6,V
83,sulęciński,7.9,III
84,świebodziński,5.4,II
85,wschowski,9.3,IV
86,zielonogórski,7.7,III
87,żagański,12.2,V
88,żarski,6.6,II
89,Gorzów Wielkopolski,3.4,I
90,Zielona Góra,3.6,I
91,bełchatowski,6.3,II
92,brzeziński,8.5,III
93,kutnowski,10.5,IV
94,łaski,9.7,IV
95,łęczycki,8.5,III
96,łowicki,6.2,II
97,łódzki wschodni,8.3,III
98,opoczyński,6.4,II
99,pabianicki,8.1,III
100,pajęczański,7.6,III
101,piotrkowski,6.9,II
102,poddębicki,7.4,III
103,radomszczański,8.0,III
104,rawski,4.4,II
105,sieradzki,6.1,II
106,skierniewicki,4.5,II
107,tomaszowski,8.0,III
108,wieluński,7.3,III
109,wieruszowski,5.1,II
110,zduńskowolski,8.0,III
111,zgierski,8.9,III
112,Łódź,7.3,III
113,Piotrków Trybunalski,6.4,II
114,Skierniewice,6.9,II
115,bocheński,5.4,II
116,brzeski,6.5,II
117,chrzanowski,9.3,IV
118,dąbrowski,12.0,V
119,gorlicki,7.0,II
120,krakowski,5.0,II
121,limanowski,8.9,III
122,miechowski,5.9,II
123,myślenicki,3.9,I
124,nowosądecki,8.8,III
125,nowotarski,7.5,III
126,olkuski,8.3,III
127,oświęcimski,6.6,II
128,proszowicki,7.0,II
129,suski,4.4,II
130,tarnowski,8.1,III
131,tatrzański,10.7,IV
132,wadowicki,5.5,II
133,wielicki,5.5,II
134,Kraków,3.1,I
135,Nowy Sącz,4.5,II
136,Tarnów,6.4,II
137,białobrzeski,8.4,III
138,ciechanowski,11.0,IV
139,garwoliński,10.0,IV
140,gostyniński,16.2,VI
141,grodziski,3.7,I
142,grójecki,2.6,I
143,kozienicki,11.4,V
144,legionowski,9.5,IV
145,lipski,10.6,IV
146,łosicki,6.4,II
147,makowski,18.3,VII
148,miński,5.9,II
149,mławski,8.1,III
150,nowodworski,7.4,III
151,ostrołęcki,12.3,V
152,ostrowski,10.7,IV
153,otwocki,5.3,II
154,piaseczyński,4.9,II
155,płocki,13.2,V
156,płoński,10.9,IV
157,pruszkowski,4.8,II
158,przasnyski,10.4,IV
159,przysuski,19.8,VII
160,pułtuski,17.4,VI
161,radomski,20.0,VII
162,siedlecki,6.8,II
163,sierpecki,17.3,VI
164,sochaczewski,7.1,III
165,sokołowski,6.5,II
166,szydłowiecki,25.6,VII
167,warszawski zachodni,2.8,I
168,węgrowski,8.8,III
169,wołomiński,9.9,IV
170,wyszkowski,5.7,II
171,zwoleński,11.8,V
172,żuromiński,15.3,VI
173,żyrardowski,11.7,V
174,Ostrołęka,11.1,IV
175,Płock,7.8,III
176,Radom,14.6,VI
