;powiat;unemployment_ratio;class;woj
0;bolesławiecki;4.8;II;DOLNOŚLĄSKIE
1;dzierżoniowski;8.3;III;DOLNOŚLĄSKIE
2;głogowski;9.8;IV;DOLNOŚLĄSKIE
3;górowski;16.0;VI;DOLNOŚLĄSKIE
4;jaworski;13.7;V;DOLNOŚLĄSKIE
5;jeleniogórski;9.8;IV;DOLNOŚLĄSKIE
6;kamiennogórski;7.8;III;DOLNOŚLĄSKIE
7;kłodzki;13.4;V;DOLNOŚLĄSKIE
8;legnicki;12.1;V;DOLNOŚLĄSKIE
9;lubański;10.1;IV;DOLNOŚLĄSKIE
10;lubiński;5.1;II;DOLNOŚLĄSKIE
11;lwówecki;14.9;VI;DOLNOŚLĄSKIE
12;milicki;8.1;III;DOLNOŚLĄSKIE
13;oleśnicki;6.9;II;DOLNOŚLĄSKIE
14;oławski;6.1;II;DOLNOŚLĄSKIE
15;polkowicki;4.7;II;DOLNOŚLĄSKIE
16;strzeliński;12.1;V;DOLNOŚLĄSKIE
17;średzki;6.4;II;DOLNOŚLĄSKIE
18;świdnicki;7.2;III;DOLNOŚLĄSKIE
19;trzebnicki;7.2;III;DOLNOŚLĄSKIE
20;wałbrzyski;15.7;VI;DOLNOŚLĄSKIE
21;wołowski;13.0;V;DOLNOŚLĄSKIE
22;wrocławski;2.5;I;DOLNOŚLĄSKIE
23;ząbkowicki;12.3;V;DOLNOŚLĄSKIE
24;zgorzelecki;6.5;II;DOLNOŚLĄSKIE
25;złotoryjski;16.5;VI;DOLNOŚLĄSKIE
26;Jelenia Góra;3.6;I;DOLNOŚLĄSKIE
27;Legnica;6.1;II;DOLNOŚLĄSKIE
28;Wałbrzych;8.2;III;DOLNOŚLĄSKIE
29;Wrocław;2.5;I;DOLNOŚLĄSKIE
30;aleksandrowski;13.7;V;KUJAWSKO-POMORSKIE
31;brodnicki;8.1;III;KUJAWSKO-POMORSKIE
32;bydgoski;7.0;II;KUJAWSKO-POMORSKIE
33;chełmiński;14.5;VI;KUJAWSKO-POMORSKIE
34;golubsko-dobrzyński;11.8;V;KUJAWSKO-POMORSKIE
35;grudziądzki;14.8;VI;KUJAWSKO-POMORSKIE
36;inowrocławski;15.4;VI;KUJAWSKO-POMORSKIE
37;lipnowski;18.2;VII;KUJAWSKO-POMORSKIE
38;mogileński;12.0;V;KUJAWSKO-POMORSKIE
39;nakielski;13.7;V;KUJAWSKO-POMORSKIE
40;radziejowski;17.8;VII;KUJAWSKO-POMORSKIE
41;rypiński;11.5;V;KUJAWSKO-POMORSKIE
42;sępoleński;14.1;VI;KUJAWSKO-POMORSKIE
43;świecki;9.0;III;KUJAWSKO-POMORSKIE
44;toruński;12.9;V;KUJAWSKO-POMORSKIE
45;tucholski;13.1;V;KUJAWSKO-POMORSKIE
46;wąbrzeski;14.9;VI;KUJAWSKO-POMORSKIE
47;włocławski;18.8;VII;KUJAWSKO-POMORSKIE
48;żniński;13.4;V;KUJAWSKO-POMORSKIE
49;Bydgoszcz;4.3;II;KUJAWSKO-POMORSKIE
50;Grudziądz;11.6;V;KUJAWSKO-POMORSKIE
